id	type	temperature	humidity	windSpeed
202	1	3	3	0
203	3	3	4	0
204	1	3	4	0
205	1	5	0	0
206	1	5	0	0
207	0	5	0	0
208	0	5	0	1
209	0	5	1	1
210	1	4	2	1
211	0	3	4	1
212	1	4	3	1
213	0	5	1	2
214	0	5	0	4
215	0	5	1	4
216	1	5	0	4
217	1	5	2	1
218	1	3	3	1
219	1	3	4	1
220	0	4	3	1
221	0	4	4	0
222	1	5	2	0
223	1	5	1	0
224	0	5	1	1
225	0	4	3	0
226	1	3	4	2
227	1	3	5	0
228	2	3	5	1
229	2	5	1	2
230	2	5	2	1
231	0	5	2	4
232	0	5	4	2
233	0	4	4	0
234	0	4	5	1
235	1	3	5	1
236	1	3	5	0
237	0	5	2	1
238	0	5	1	2
239	0	5	1	2
240	0	5	1	2
241	2	4	3	4
242	0	4	5	2
243	0	4	5	0
244	0	4	5	0
245	0	4	5	1
246	0	5	3	2
247	0	5	3	3
248	0	4	5	0
249	0	4	5	0
250	0	4	5	0
251	2	4	5	0
252	2	4	5	0
253	2	4	5	0
254	0	4	4	1
255	2	4	4	1
256	0	4	4	1
257	0	4	5	1
258	0	3	5	2
259	0	3	5	1
260	0	3	5	2
261	1	5	3	4
262	0	5	2	3
263	0	5	1	3
264	1	5	1	3
265	1	4	4	2
266	0	4	4	1
267	1	3	5	0
268	0	4	5	0
269	0	4	4	2
270	0	5	3	1
271	0	5	2	4
272	0	5	2	2
273	1	4	4	1
274	1	3	5	0
275	1	3	5	1
276	1	4	5	1
277	1	5	1	2
278	0	5	1	4
279	0	5	1	4
280	0	5	1	4
281	2	5	2	4
282	0	5	2	4
283	2	5	1	4
284	4	5	1	4
285	2	6	1	4
286	1	6	1	4
287	1	6	1	2
288	1	5	1	4
289	0	5	1	1
290	2	4	3	1
291	1	4	3	1
292	0	4	4	0
293	0	5	2	0
294	0	5	2	1
295	0	5	1	0
296	1	5	1	1
297	1	4	3	2
298	1	4	4	0
299	1	3	4	2
300	0	4	4	0
301	1	5	1	0
302	0	5	1	2
303	2	5	1	3
304	4	5	5	2
305	2	4	5	2
306	2	4	4	3
307	2	3	5	2
308	2	3	5	2
309	2	4	4	1
310	0	4	3	1
311	0	5	1	1
312	0	5	2	0
313	1	4	4	0
314	0	4	5	2
315	1	4	5	1
316	0	4	5	1
317	0	4	5	1
318	0	5	3	1
319	1	5	1	0
320	0	5	2	0
321	0	5	3	0
322	1	5	3	1
323	0	4	5	2
324	0	4	5	2
325	2	5	4	0
326	2	5	3	1
327	0	5	2	1
328	2	5	3	0
329	0	5	5	0
330	0	5	5	0
331	0	5	4	1
332	1	4	5	0
333	0	5	2	2
334	1	6	1	1
335	1	6	1	2
336	1	6	1	2
337	1	5	3	1
338	1	5	4	1
339	1	5	4	2
340	3	5	4	0
341	1	5	2	1
342	1	6	1	2
343	1	6	1	0
344	1	6	1	2
345	1	5	3	0
346	1	5	5	1
347	3	5	5	0
348	1	5	5	0
349	1	6	1	1
350	1	6	1	3
351	1	6	1	1
352	1	6	1	2
353	0	5	3	2
354	1	5	3	2
355	1	4	4	0
356	1	5	3	2
357	1	5	1	2
358	1	6	1	3
359	1	6	0	4
360	1	6	0	2
361	1	5	3	0
362	3	5	4	0
363	3	5	3	2
364	1	5	3	0
365	1	6	1	2
366	0	6	1	3
367	0	6	1	1
368	0	5	1	2
369	0	5	3	1
370	2	5	4	3
371	0	4	5	1
372	0	5	5	1
373	0	5	3	0
374	0	5	2	1
375	0	5	2	4
376	0	5	2	4
377	2	5	3	3
378	2	4	3	3
379	0	4	4	2
380	2	4	4	2
381	2	4	4	2
382	0	5	3	2
383	0	5	2	2
384	0	5	2	3
385	1	5	4	1
386	1	4	5	0
387	1	3	5	1
388	1	4	5	1
389	1	5	1	2
390	1	5	1	2
391	1	5	1	0
392	1	5	1	0
393	1	5	3	0
394	0	3	5	0
395	1	3	5	0
396	1	3	5	0
397	0	4	3	0
398	0	5	1	0
399	0	5	3	1
400	0	5	3	0
401	0	4	5	0
402	3	4	5	0
403	3	3	5	0
404	1	4	5	0
405	1	5	1	0
406	1	6	1	0
407	1	6	0	1
408	0	6	0	0
409	0	5	3	0
410	0	3	5	1
411	0	3	5	1
412	0	3	5	0
413	0	4	4	0
414	0	5	2	1
415	0	5	3	2
416	0	4	5	2
417	0	4	4	2
418	0	4	5	0
419	0	3	5	1
420	0	3	5	2
421	0	4	5	0
422	0	5	3	1
423	0	5	3	2
424	0	5	2	2
425	0	4	4	0
426	0	4	5	2
427	0	4	5	1
428	1	4	5	2
429	1	5	3	4
430	1	5	1	3
431	1	5	1	3
432	1	5	1	2
433	0	4	1	3
434	1	4	1	2
435	1	3	1	2
436	0	3	2	2
437	1	4	1	3
438	1	5	1	3
439	1	5	0	2
440	1	5	0	3
441	1	4	1	1
442	3	3	3	0
443	3	3	4	1
444	1	3	5	0
445	0	4	1	1
446	0	5	1	0
447	0	5	0	0
448	0	5	1	0
449	1	4	2	0
450	1	3	3	1
451	1	3	4	1
452	1	3	4	0
453	1	5	1	1
454	0	5	1	2
455	1	5	0	0
456	0	5	1	0
457	0	4	3	0
458	2	2	5	1
459	4	2	5	2
460	4	2	5	2
461	2	2	5	3
462	4	2	4	4
463	0	2	3	4
464	0	1	3	4
465	0	1	3	4
466	1	1	5	2
467	1	1	5	2
468	0	1	5	2
469	2	2	5	4
470	2	3	3	4
471	2	3	3	4
472	2	3	3	2
473	2	3	4	3
474	2	2	4	2
475	0	2	5	2
476	0	1	5	1
477	2	2	5	2
478	2	3	3	1
479	2	3	3	1
480	2	2	5	0
481	2	2	5	1
482	2	2	5	0
483	2	2	5	0
484	2	2	5	1
485	2	2	5	2
486	0	2	3	3
487	0	3	2	2
488	0	2	3	2
489	1	2	5	1
490	0	1	5	1
491	2	2	4	3
492	2	2	3	4
493	0	2	4	4
494	0	3	3	4
495	0	3	1	4
496	0	2	2	4
497	0	2	2	4
498	4	2	3	4
499	4	1	2	4
500	0	1	2	4
501	4	2	2	4
502	1	2	1	4
503	1	3	1	4
504	1	2	1	2
505	1	1	3	2
506	1	1	3	2
507	0	0	4	1
508	0	1	4	0
509	2	1	4	1
510	2	1	3	0
511	2	1	4	1
512	2	1	5	0
513	2	1	5	1
514	0	1	5	0
515	0	1	5	0
516	1	1	5	2
517	0	2	4	1
518	1	2	2	2
519	0	3	1	1
520	0	2	3	1
521	0	2	4	1
522	0	1	4	0
523	0	1	4	2
524	3	1	4	0
525	3	2	1	0
526	1	3	1	1
527	1	3	1	1
528	1	2	1	0
529	3	1	3	0
530	3	1	4	0
531	4	1	5	0
532	4	0	5	0
533	1	2	1	2
534	1	3	1	2
535	1	3	1	2
536	1	3	1	1
537	1	2	2	2
538	1	1	3	2
539	3	2	3	3
540	1	1	4	2
541	0	2	2	2
542	2	2	2	2
543	2	3	1	2
544	0	2	2	1
545	1	1	2	0
546	0	1	4	3
547	1	1	4	2
548	1	1	4	2
549	0	1	3	3
550	0	2	2	2
551	1	3	1	2
552	1	2	4	2
553	1	1	3	3
554	1	1	3	0
555	0	1	2	1
556	2	1	4	0
557	0	2	1	0
558	1	3	1	2
559	1	3	0	2
560	3	3	1	0
561	3	2	3	0
562	3	1	3	1
563	1	1	4	0
564	1	1	5	2
565	0	2	1	3
566	1	3	1	4
567	1	3	1	4
568	1	2	2	2
569	0	2	3	1
570	0	2	3	0
571	2	2	3	0
572	2	2	3	1
573	0	2	3	2
574	0	3	1	2
575	0	3	1	3
576	1	2	1	1
577	1	1	2	0
578	1	1	4	0
579	0	1	4	0
580	3	1	4	2
581	3	1	5	1
582	3	2	5	3
583	2	2	4	3
584	2	2	5	3
585	2	2	4	3
586	2	1	5	3
587	1	1	3	2
588	0	1	4	2
589	0	2	1	4
590	1	2	1	4
591	1	3	0	3
592	0	2	1	3
593	1	1	1	4
594	3	1	2	2
595	3	0	3	2
596	3	0	3	2
597	1	2	1	2
598	1	3	1	1
599	0	3	0	2
600	0	2	1	1
601	2	2	2	1
602	0	1	4	1
603	2	1	4	1
604	2	1	4	0
605	0	2	1	2
606	0	3	1	3
607	2	3	1	2
608	0	2	3	2
609	2	2	4	2
610	2	2	4	2
611	0	2	5	2
612	0	1	5	1
613	2	2	4	2
614	0	3	2	1
615	0	3	2	1
616	0	2	4	0
617	1	2	4	1
618	1	1	5	1
619	1	0	5	0
620	4	0	5	0
621	0	2	3	1
622	0	3	1	0
623	2	3	1	0
624	2	3	3	0
625	2	2	3	0
626	2	2	4	1
627	2	2	4	1
628	0	2	4	1
629	0	3	2	3
630	1	4	1	0
631	0	3	1	1
632	0	3	4	2
633	2	3	3	1
634	1	1	4	2
635	1	1	5	2
636	0	1	5	1
637	0	2	3	3
638	2	3	2	3
639	2	3	2	3
640	2	2	3	2
641	2	2	4	2
642	0	2	4	2
643	1	2	4	2
644	1	2	5	1
645	0	3	3	1
646	0	4	1	4
647	2	4	1	4
648	0	3	2	1
649	0	3	3	2
650	2	3	3	1
651	1	3	4	2
652	1	2	4	2
653	1	4	2	3
654	0	5	1	4
655	1	5	0	4
656	0	4	1	2
657	0	3	2	2
658	2	2	5	2
659	2	2	5	2
660	2	2	5	2
661	2	2	5	2
662	2	2	5	2
663	2	2	4	1
664	2	2	5	1
665	2	2	4	1
666	3	1	5	1
667	0	1	5	2
668	2	1	5	2
669	2	2	4	3
670	2	3	2	4
671	2	3	2	3
672	0	2	3	2
673	0	2	3	2
674	2	2	4	3
675	2	2	3	4
676	2	2	3	4
677	2	2	3	2
678	2	3	4	0
679	0	3	4	1
680	2	2	5	1
681	0	2	5	2
682	2	2	5	1
683	2	2	5	2
684	0	2	5	3
685	2	2	4	3
686	0	3	3	2
687	0	3	2	0
688	2	2	4	0
689	0	2	5	1
690	2	2	5	2
691	0	2	5	2
692	0	2	5	1
693	0	2	3	1
694	0	2	3	2
695	0	2	2	0
696	1	2	4	1
697	1	1	5	1
698	1	1	5	1
699	3	1	5	2
700	1	1	5	1
701	1	2	4	2
702	0	3	2	2
703	0	3	1	2
704	1	2	4	2
705	1	2	5	2
706	1	2	5	0
707	0	2	5	0
708	0	3	4	2
709	0	4	2	3
710	0	4	2	3
711	2	4	1	2
712	2	3	3	2
713	2	3	4	3
714	3	3	3	1
715	0	2	4	2
716	1	3	4	2
717	1	4	2	2
718	0	5	1	2
719	2	3	4	3
720	2	3	4	2
721	2	3	5	1
722	2	3	5	0
723	2	3	5	0
724	2	3	5	1
725	2	3	5	1
726	0	4	2	1
727	0	5	1	0
728	0	4	2	1
729	0	4	3	2
730	2	3	4	1
731	2	3	4	1
732	0	3	4	1
733	2	4	4	2
734	0	4	3	2
735	2	4	3	3
736	2	4	5	2
737	2	4	5	2
738	0	3	5	2
739	0	3	5	2
740	1	3	5	3
741	1	4	2	4
742	4	5	1	4
743	0	3	4	4
744	1	4	2	4
745	0	3	3	2
746	2	3	3	4
747	0	3	3	4
748	0	3	3	4
749	0	4	3	4
750	2	3	5	4
751	2	3	5	3
752	0	4	4	3
753	1	3	5	2
754	1	3	5	2
755	0	3	5	1
756	0	3	4	1
757	2	3	4	4
758	2	3	2	4
759	2	3	2	4
760	2	2	5	1
761	1	2	5	1
762	1	2	5	2
763	1	1	4	2
764	0	2	3	3
765	0	3	2	4
766	0	3	1	2
767	0	3	1	3
768	1	3	1	2
769	1	2	3	2
770	3	2	4	0
771	1	1	5	1
772	0	2	4	2
773	0	3	3	2
774	0	3	1	3
775	0	3	1	4
776	0	3	1	2
777	0	2	3	0
778	0	2	3	2
779	0	2	4	0
780	2	2	3	2
781	0	3	1	3
782	0	4	1	3
783	0	4	1	0
784	0	4	2	0
785	1	3	3	1
786	1	2	4	0
787	2	2	4	0
788	0	3	3	1
789	0	4	2	2
790	0	5	1	3
791	0	4	1	1
792	0	3	3	3
793	2	3	4	0
794	2	3	5	0
795	2	3	5	2
796	2	3	5	2
797	2	3	4	4
798	2	4	3	2
799	0	4	1	0
800	2	3	4	2
801	2	3	4	2
802	1	3	4	1
803	1	2	5	1
804	1	3	3	2
805	1	4	2	3
806	0	5	1	3
807	0	5	0	3
808	1	5	1	2
809	1	3	2	1
810	3	3	4	0
811	3	2	4	1
812	1	3	4	1
813	1	5	1	3
814	1	5	0	3
815	1	5	0	3
816	1	5	0	2
817	1	3	2	1
818	1	3	4	1
819	3	2	4	0
820	1	3	3	0
821	1	5	1	0
822	1	5	0	2
823	1	5	0	0
824	1	5	0	0
825	1	4	1	2
826	1	3	3	2
827	1	3	4	1
828	1	4	3	3
829	1	5	1	3
830	1	5	0	1
831	1	5	0	0
832	0	5	1	0
833	1	4	2	1
834	0	4	3	2
835	0	3	4	1
836	1	4	3	2
837	0	4	3	2
838	0	4	4	1
839	0	4	2	3
840	2	4	4	2
841	2	3	4	2
842	2	3	4	2
843	0	3	5	2
844	0	3	4	4
845	1	4	2	4
846	1	5	1	4
847	0	5	2	4
848	0	4	3	2
849	1	3	4	2
850	0	3	4	2
851	1	3	5	1
852	1	4	4	2
853	1	5	1	2
854	0	5	1	2
855	1	5	1	2
856	1	5	1	1
857	1	4	3	0
858	3	3	4	1
859	3	3	5	1
860	1	4	4	1
861	0	5	2	0
862	0	5	1	0
863	0	5	0	0
864	0	5	1	0
865	0	4	3	1
866	0	4	4	0
867	0	3	4	0
868	1	4	3	1
869	0	5	1	1
870	0	5	1	2
871	1	6	0	2
872	1	5	1	1
873	1	4	3	0
874	1	4	3	0
875	1	3	4	1
876	0	4	3	1
877	0	5	2	1
878	0	5	1	2
879	1	6	1	3
880	1	5	1	2
881	0	5	2	2
882	2	3	4	2
883	2	3	3	2
884	0	3	4	2
885	0	4	3	2
886	0	4	1	1
887	0	4	2	4
888	2	3	4	1
889	1	3	5	0
890	1	5	4	2
891	0	4	4	0
892	0	4	3	1
893	1	5	1	0
894	0	5	1	1
895	1	5	1	2
896	1	5	1	1
897	1	4	4	0
898	2	4	4	2
899	1	4	3	2
900	1	4	3	1
901	1	5	1	4
902	1	5	0	4
903	1	5	0	3
904	1	5	1	2
905	1	4	2	1
906	2	2	5	1
907	0	3	4	2
908	2	3	4	2
909	0	3	4	3
910	0	4	1	4
911	0	4	1	4
912	2	3	3	4
913	4	3	3	4
914	0	3	4	3
915	0	3	4	2
916	0	3	3	3
917	0	4	1	4
918	1	5	1	3
919	1	5	0	4
920	1	4	1	3
921	1	3	3	2
922	1	3	3	1
923	1	2	4	2
924	1	3	3	1
925	1	4	1	3
926	1	5	1	3
927	1	5	0	2
928	1	5	0	2
929	1	3	2	1
930	1	3	2	1
931	1	2	4	1
932	0	3	2	1
933	0	4	1	1
934	0	5	1	3
935	1	5	0	3
936	1	4	0	3
937	1	3	1	2
938	1	2	2	1
939	1	2	3	0
940	0	3	4	1
941	1	4	1	1
942	1	4	1	1
943	0	5	0	2
944	1	4	1	2
945	1	3	2	0
946	1	3	4	0
947	1	2	4	0
948	0	3	4	1
949	1	4	1	0
950	0	4	1	0
951	1	5	0	2
952	1	4	0	1
953	1	3	3	1
954	0	2	5	1
955	3	1	5	1
956	3	1	5	0
957	3	2	3	0
958	3	3	2	0
959	1	3	3	0
960	1	2	4	0
961	1	2	4	1
962	1	1	5	1
963	1	1	5	1
964	1	1	4	2
965	0	2	3	2
966	0	2	3	2
967	0	2	3	2
968	0	2	3	1
969	1	2	4	1
970	1	1	5	1
971	1	1	5	1
972	1	1	4	2
973	0	2	3	2
974	0	2	3	2
975	0	2	3	2
976	0	2	4	1
977	1	1	4	1
978	1	1	5	1
979	1	1	5	1
980	1	1	4	2
981	0	2	3	2
982	0	2	3	2
983	0	2	3	2
984	0	2	4	1
985	1	1	4	1
986	1	1	5	1
987	1	1	5	1
988	1	1	4	2
989	0	2	3	2
990	0	2	3	2
991	0	2	3	2
992	1	2	4	1
993	1	1	4	1
994	1	1	5	1
995	1	1	5	1
996	1	1	4	2
997	0	2	4	2
998	0	2	3	2
999	0	2	3	2
1000	1	2	4	1
1001	1	1	4	1
1002	1	1	5	1
1003	1	1	5	1
1004	1	1	4	2
1005	0	2	4	2
1006	0	2	3	2
1007	0	2	3	2
1008	1	2	4	1
1009	1	1	4	1
1010	1	1	5	1
1011	1	1	5	1
1012	1	1	4	2
1013	0	2	4	2
1014	0	2	3	2
1015	0	2	3	2
1016	1	2	4	1
1017	1	1	4	1
1018	1	1	5	1
1019	1	1	5	1
1020	1	1	4	2
1021	0	2	4	2
1022	0	2	3	2
1023	0	2	3	2
1024	0	2	4	1
1025	1	1	4	1
1026	1	1	5	1
1027	1	1	5	1
1028	1	1	4	2
1029	0	2	4	2
1030	0	2	3	2
1031	0	2	3	2
1032	0	2	4	1
1033	1	1	4	1
1034	1	1	5	1
1035	1	1	5	1
1036	1	1	4	2
1037	0	2	4	2
1038	0	2	3	2
1039	0	2	3	2
1040	0	2	4	1
1041	1	1	4	1
1042	1	2	4	1
1043	0	2	4	2
1044	0	2	4	3
1045	0	2	3	1
1046	3	3	3	0
1047	3	2	3	0
1048	3	2	4	0
1049	3	2	4	0
1050	1	1	5	1
1051	1	1	5	1
1052	0	1	4	2
1053	0	2	4	2
1054	0	2	3	2
1055	0	2	3	2
1056	0	1	4	1
1057	1	1	4	1
1058	1	1	5	1
1059	1	1	5	1
1060	0	1	4	2
1061	0	2	4	2
1062	0	2	3	2
1063	0	2	3	2
1064	0	1	4	1
1065	1	1	4	1
1066	1	1	5	1
1067	1	1	5	1
1068	0	1	4	2
1069	0	2	4	2
1070	0	2	3	2
1071	0	2	3	2
1072	0	1	4	1
1073	0	1	4	1
1074	1	1	5	1
1075	1	1	5	1
1076	0	1	4	2
1077	0	1	4	2
1078	0	2	3	2
1079	0	2	3	2
1080	0	1	4	1
1081	0	1	4	1
1082	1	1	5	1
1083	0	1	5	1
1084	0	1	4	2
1085	0	1	4	2
1086	0	2	3	2
1087	0	2	3	2
1088	0	1	4	1
1089	0	1	4	1
1090	1	1	5	1
1091	0	1	5	1
1092	0	1	4	2
1093	0	1	4	2
1094	0	2	3	2
1095	0	2	3	2
1096	0	1	4	1
1097	0	1	4	1
1098	1	1	5	1
1099	0	1	5	1
1100	0	1	4	2
1101	0	1	4	2
1102	0	2	3	2
1103	0	2	3	2
1104	0	1	4	1
1105	0	1	4	1
1106	1	1	5	1
1107	0	1	5	1
1108	0	1	4	2
1109	0	1	4	2
1110	0	2	3	2
1111	0	2	3	2
1112	0	1	4	1
1113	0	1	4	1
1114	1	1	5	1
1115	1	1	5	1
1116	0	1	4	2
1117	0	1	4	2
1118	0	2	3	2
1119	0	2	3	2
1120	0	1	4	1
1121	0	1	4	1
1122	1	1	5	1
1123	1	1	5	1
1124	0	1	4	2
1125	0	1	4	2
1126	0	2	3	2
1127	0	2	3	2
1128	0	1	4	1
1129	0	1	5	1
1130	1	2	5	1
1131	1	1	5	1
1132	1	2	4	1
1133	0	2	3	2
1134	0	3	3	2
1135	0	3	3	2
1136	1	2	3	1
1137	1	2	4	1
1138	1	1	5	1
1139	1	1	5	1
1140	0	1	4	2
1141	0	1	4	2
1142	0	2	3	2
1143	0	2	4	2
1144	0	1	4	1
1145	1	1	5	1
1146	1	2	5	1
1147	1	1	5	1
1148	1	2	4	1
1149	0	2	3	2
1150	0	3	3	2
1151	0	3	3	2
1152	1	2	3	1
1153	1	2	4	1
1154	1	1	5	1
1155	1	1	5	1
1156	1	2	4	2
1157	0	2	3	2
1158	0	3	3	2
1159	0	2	3	2
1160	1	2	3	1
1161	1	2	4	1
1162	1	1	5	1
1163	1	1	5	1
1164	1	2	4	2
1165	0	2	3	2
1166	0	3	3	2
1167	0	2	3	2
1168	0	2	3	1
1169	1	2	4	1
1170	1	1	5	1
1171	1	1	5	1
1172	1	1	4	2
1173	0	2	3	2
1174	0	3	3	2
1175	0	2	3	2
1176	0	2	3	1
1177	1	2	4	1
1178	1	1	5	1
1179	1	1	5	1
1180	1	1	4	2
1181	0	2	3	2
1182	0	3	3	2
1183	0	2	3	2
1184	0	2	3	1
1185	1	2	4	1
1186	1	1	5	1
1187	1	1	5	1
1188	1	1	4	2
1189	0	2	3	2
1190	0	2	3	2
1191	0	2	3	2
1192	0	2	3	1
1193	1	2	4	1
1194	1	3	4	1
1195	0	3	4	1
1196	0	3	4	2
1197	0	4	2	2
1198	1	5	0	4
1199	1	5	0	4
1200	1	4	1	1
1201	0	3	3	1
1202	0	1	5	0
1203	4	1	5	0
1204	4	1	5	0
1205	0	2	4	0
1206	0	3	1	2
1207	0	3	1	3
1208	2	3	2	2
1209	2	3	2	3
1210	2	2	3	2
1211	2	2	4	2
1212	2	2	5	2
1213	2	2	5	2
1214	4	2	5	1
1215	2	2	5	1
1216	4	2	5	1
1217	4	2	5	0
1218	4	2	5	1
1219	4	2	5	2
1220	4	2	5	3
1221	4	2	5	3
1222	4	2	5	3
1223	4	2	5	4
1224	4	2	4	3
1225	4	2	4	3
1226	0	2	4	3
1227	1	2	5	2
1228	1	2	5	2
1229	3	2	4	2
1230	1	3	2	2
1231	0	3	2	1
1232	0	2	4	1
1233	4	2	4	1
1234	4	1	5	1
1235	4	1	5	1
1236	4	1	5	1
1237	0	2	4	2
1238	0	3	1	2
1239	0	3	1	3
1240	0	3	3	2
1241	0	2	3	2
1242	0	2	3	2
1243	0	2	3	2
1244	0	2	4	2
1245	0	3	3	3
1246	2	3	1	3
1247	0	4	1	1
1248	4	3	3	1
1249	4	3	4	2
1250	4	3	4	0
1251	4	3	5	0
1252	4	3	5	0
1253	4	3	4	0
1254	2	3	4	1
1255	0	3	4	1
1256	0	3	5	0
1257	0	3	5	1
1258	4	3	5	1
1259	2	3	5	1
1260	2	3	4	2
1261	2	3	4	3
1262	0	3	3	3
1263	0	3	2	4
1264	0	3	3	4
1265	0	2	3	4
1266	0	2	3	3
1267	2	2	3	2
1268	2	2	3	2
1269	2	2	3	3
1270	0	3	1	4
1271	0	3	1	3
1272	0	3	2	2
1273	2	2	2	2
1274	2	2	2	1
1275	2	2	3	1
1276	2	2	3	0
1277	2	2	3	1
1278	2	3	3	2
1279	0	3	2	2
1280	0	3	3	2
1281	2	2	3	2
1282	3	3	4	1
1283	3	3	4	2
1284	1	3	4	2
1285	0	4	2	1
1286	0	5	1	2
1287	0	5	0	0
1288	0	4	2	4
1289	2	3	5	2
1290	0	2	3	3
1291	0	2	4	2
1292	0	2	4	2
1293	1	2	2	4
1294	1	3	1	4
1295	0	3	2	4
1296	0	3	3	3
1297	2	3	4	3
1298	4	2	4	2
1299	4	2	5	2
1300	4	2	5	2
1301	4	3	4	3
1302	4	3	4	3
1303	4	3	4	2
1304	4	3	4	1
1305	4	3	5	0
1306	4	2	5	2
1307	4	2	5	2
1308	4	2	5	2
1309	1	2	3	2
1310	3	3	1	2
1311	3	3	1	1
1312	3	2	3	0
1313	3	2	4	1
1314	3	1	4	1
1315	4	1	5	1
1316	4	1	5	1
1317	4	2	4	1
1318	0	3	3	1
1319	3	3	3	1
1320	3	3	4	1
1321	4	2	5	1
1322	4	2	5	1
1323	4	2	5	2
1324	4	2	5	2
1325	2	3	4	3
1326	1	4	2	3
1327	3	4	3	2
1328	1	3	4	2
1329	0	3	4	3
1330	0	3	4	3
1331	2	2	4	3
1332	2	2	5	3
1333	0	3	3	3
1334	0	4	2	3
1335	0	4	2	3
1336	0	3	3	2
1337	4	3	4	2
1338	4	3	4	2
1339	4	3	5	1
1340	4	3	5	0
1341	4	3	5	1
1342	4	3	4	3
1343	2	3	3	3
1344	0	3	4	2
1345	3	2	4	2
1346	3	2	4	2
1347	3	1	4	2
1348	3	1	4	2
1349	3	2	3	3
1350	1	3	2	3
1351	3	3	2	2
1352	3	2	3	1
1353	3	2	3	1
1354	3	1	4	1
1355	3	1	4	1
1356	3	1	4	1
1357	3	2	2	0
1358	3	3	1	0
1359	3	3	1	1
