id	age	gender	occupation	location
99	2	0	3	94
100	0	0	5	95
101	2	0	10	96
102	1	0	5	97
103	1	0	5	97
104	1	0	14	1
105	4	0	18	98
106	2	0	8	99
107	3	0	7	100
108	1	0	1	101
109	1	0	5	102
110	4	0	14	103
111	1	0	19	104
112	3	0	3	105
113	1	0	10	106
114	2	0	14	107
115	2	0	17	108
116	1	0	5	109
117	1	0	4	110
118	2	0	10	111
119	3	1	1	112
120	4	0	11	113
121	2	1	2	114
122	3	1	13	115
123	2	0	5	116
124	1	0	6	117
125	1	1	6	118
126	2	0	16	119
127	1	1	15	120
128	2	1	15	121
129	1	0	16	122
130	4	1	4	123
131	1	0	1	124
132	4	0	14	125
133	2	0	10	126
134	1	0	5	127
135	4	0	1	128
136	3	0	7	129
137	3	0	20	130
138	1	0	5	131
139	1	1	5	132
140	3	0	10	133
141	0	0	1	61
142	3	0	0	134
143	4	0	10	135
144	2	0	9	136
145	3	0	13	137
146	2	1	11	138
147	2	0	14	139
148	2	1	15	140
149	1	1	13	141
150	2	1	4	142
151	2	1	7	143
152	1	0	5	144
153	1	0	5	145
154	2	1	1	146
155	1	0	7	147
156	4	0	14	148
157	3	0	7	149
158	1	1	5	150
159	1	0	10	151
160	3	0	6	152
161	1	0	13	153
162	3	0	4	154
163	3	0	17	155
164	1	1	1	156
165	3	0	7	157
166	2	0	1	158
167	3	0	1	159
168	4	1	1	160
169	4	1	17	161
170	3	1	7	162
171	4	0	15	163
172	4	0	1	164
173	1	1	4	165
174	1	1	8	166
175	1	0	8	167
176	1	0	10	168
177	1	0	1	169
178	0	0	9	170
179	1	1	4	171
180	1	0	3	77
181	2	0	10	172
182	2	0	8	173
183	2	0	11	174
184	4	1	11	175
185	2	1	3	176
186	1	0	7	177
187	3	0	5	178
188	2	0	13	179
189	1	0	4	180
190	2	0	4	181
191	3	0	7	182
192	1	0	5	183
193	2	0	4	184
194	3	0	8	185
195	3	0	2	35
196	4	0	0	186
197	1	1	5	50
198	1	0	2	187
199	2	0	10	188
200	1	0	2	189
201	3	1	7	190
202	1	1	5	191
203	4	1	11	192
204	3	0	6	193
205	0	1	5	194
206	2	0	15	195
207	3	0	14	196
208	2	1	7	197
209	2	0	14	198
210	4	0	19	199
211	3	1	7	200
212	2	0	3	201
213	1	1	11	202
214	2	0	10	203
215	1	0	14	72
216	1	0	1	204
217	2	0	4	205
218	2	0	10	206
219	1	0	11	207
220	1	0	5	208
221	1	0	10	209
222	1	1	5	210
223	2	1	7	211
224	4	1	4	212
225	1	0	5	213
226	3	0	3	214
227	1	1	5	215
228	1	1	11	216
229	1	1	5	217
230	3	0	11	218
231	3	0	8	219
232	2	0	14	220
233	4	0	18	221
234	2	0	7	222
235	3	1	2	223
236	3	0	4	224
237	3	1	4	225
238	2	0	13	226
239	1	1	7	227
240	1	1	5	228
241	2	0	7	229
242	2	0	7	190
243	1	0	0	39
244	1	0	5	230
245	1	0	5	231
246	1	0	14	232
247	1	0	5	233
248	1	0	5	234
249	1	0	3	235
250	1	0	20	236
251	3	0	14	237
252	1	1	11	216
253	3	0	7	238
254	1	0	9	239
255	2	1	16	240
256	0	0	5	241
257	1	1	5	242
258	1	0	5	243
259	2	1	13	244
260	1	0	4	245
261	1	1	5	246
262	3	0	10	150
263	2	1	2	247
264	1	0	3	248
265	4	1	4	249
266	1	0	14	250
267	1	0	14	251
268	2	1	11	252
269	0	1	5	253
270	4	0	14	254
271	2	0	8	255
272	3	1	1	256
273	1	1	5	50
274	2	0	14	257
275	1	0	5	258
276	2	1	4	259
277	2	1	11	260
278	2	0	10	261
279	1	1	11	216
280	0	1	5	262
281	1	0	4	263
282	1	0	10	264
283	2	0	3	265
284	1	0	10	266
285	1	0	5	267
286	1	0	19	268
287	2	0	15	269
288	0	0	16	270
289	2	0	14	271
290	1	0	5	272
291	2	1	10	273
292	1	0	2	274
293	2	0	0	275
294	2	0	7	276
295	3	1	4	277
296	1	1	7	278
297	3	0	3	279
298	1	0	20	280
299	1	1	10	13
300	1	0	5	281
301	3	0	7	282
302	1	0	5	283
303	1	1	5	284
304	1	0	10	285
305	3	0	1	286
306	1	0	5	287
307	4	0	18	288
308	2	0	8	289
309	2	0	7	290
310	2	0	0	291
311	3	0	1	292
312	3	0	15	293
313	1	1	5	294
314	2	0	7	295
315	3	1	1	296
316	1	0	4	297
317	4	0	18	298
318	2	0	10	299
319	1	0	5	300
320	3	1	7	301
321	1	0	5	302
322	1	0	5	303
323	1	1	5	304
324	3	0	0	141
325	3	0	4	305
326	1	0	5	306
327	4	0	4	307
328	3	0	7	196
329	2	1	7	172
330	2	0	9	6
331	1	0	5	308
332	3	0	1	309
333	2	0	11	310
334	3	0	3	311
335	1	0	19	312
336	2	0	8	313
337	2	1	11	314
338	2	0	6	315
339	3	0	14	155
340	0	1	5	316
341	1	1	1	91
342	3	0	14	317
343	1	1	11	318
344	1	1	11	319
345	2	0	1	320
346	0	0	5	110
347	1	1	5	321
348	4	0	18	322
349	2	0	5	14
350	4	0	7	323
351	2	1	10	35
352	1	0	8	324
353	1	1	11	22
354	1	0	5	325
355	2	1	12	326
356	1	0	3	327
357	2	0	7	328
358	1	0	5	74
359	4	0	1	329
360	1	0	5	330
361	2	1	12	331
362	1	0	5	332
363	4	0	14	333
364	1	0	6	120
365	1	1	5	334
366	0	0	5	335
367	0	0	5	336
368	1	0	5	337
369	4	0	2	338
370	2	0	14	339
371	1	1	5	340
372	1	1	1	341
373	2	0	3	342
374	0	0	9	343
375	1	1	1	344
376	1	0	5	345
377	2	0	5	346
378	3	0	10	347
379	2	0	14	348
380	2	0	13	349
381	3	0	14	350
382	3	0	4	351
383	4	0	10	352
384	2	0	2	29
385	2	0	19	353
386	2	0	9	354
387	2	0	1	355
388	3	1	2	356
389	3	1	2	357
390	1	0	5	358
391	4	0	2	359
392	1	0	5	360
393	1	0	4	361
394	3	0	1	362
395	4	0	14	363
396	0	0	5	38
397	2	0	1	364
398	1	0	1	365
399	2	1	4	366
400	3	1	17	367
401	1	0	14	368
402	2	0	1	369
403	1	1	10	97
404	1	1	17	370
405	4	0	7	371
406	1	0	14	372
407	1	0	5	373
408	3	0	4	374
409	1	1	13	375
410	2	0	7	376
411	1	0	7	377
412	4	0	7	378
413	1	0	10	379
414	2	0	7	0
415	1	1	5	380
416	1	1	1	142
417	4	1	16	381
418	2	0	6	382
419	4	0	7	383
420	2	1	10	35
421	1	0	9	23
422	4	0	1	384
423	2	1	15	385
424	1	0	5	386
425	4	0	7	387
426	4	0	20	388
427	1	0	5	50
428	1	0	5	389
429	2	0	8	390
430	1	0	15	265
431	1	0	9	391
432	1	0	13	392
433	0	1	5	393
434	1	0	14	394
435	1	1	4	395
436	1	1	1	120
437	4	1	4	396
438	1	1	4	397
439	1	0	1	398
440	3	0	0	399
441	1	0	5	400
442	2	0	19	401
443	4	1	6	402
444	1	0	2	403
445	4	0	7	190
446	1	0	4	157
447	1	0	9	404
448	1	0	11	405
449	2	1	7	406
450	0	0	5	407
451	2	0	4	408
452	0	0	5	409
453	4	0	1	410
454	3	0	4	411
455	1	0	0	412
456	2	1	19	413
457	3	0	0	414
458	1	0	5	415
459	3	1	1	416
460	0	0	5	417
461	1	1	5	418
462	3	1	17	419
463	4	0	2	420
464	2	0	1	421
465	1	0	5	422
466	1	0	14	423
467	1	0	14	424
468	4	0	7	425
469	1	0	10	404
470	0	0	5	426
471	1	0	5	427
472	1	0	5	428
473	4	0	3	429
474	1	0	10	430
475	1	0	5	431
476	1	1	5	432
477	1	0	1	370
478	1	0	7	433
479	4	0	18	434
480	4	0	18	435
481	0	1	5	436
482	1	0	8	206
483	1	0	5	437
484	3	1	7	438
485	2	0	7	439
486	1	0	14	440
487	3	0	0	441
488	4	0	1	352
489	1	1	13	442
490	3	1	2	443
491	4	0	7	444
492	1	0	14	445
493	2	1	4	446
494	1	0	14	447
495	1	1	5	50
496	1	0	5	448
497	1	0	2	449
498	3	0	10	450
499	1	0	4	451
500	1	0	5	452
501	1	0	5	453
502	3	1	2	38
503	2	1	2	454
504	1	1	1	455
505	3	0	10	456
506	0	1	2	457
507	1	0	15	458
508	1	0	4	459
509	2	0	1	460
510	1	0	5	461
511	1	0	1	462
512	3	0	4	463
513	1	0	10	464
514	4	0	15	465
515	4	1	11	404
516	1	0	5	287
517	3	1	2	219
518	1	0	1	466
519	4	0	17	467
520	1	0	5	468
521	2	0	14	469
522	3	1	4	470
523	4	0	7	471
524	1	1	4	472
525	1	0	15	473
526	2	0	11	474
527	0	0	5	152
528	3	1	4	475
529	1	0	14	476
530	1	1	19	477
531	1	0	5	478
532	3	0	11	479
533	1	0	5	480
534	3	1	7	481
535	2	0	14	482
536	2	0	14	78
537	2	0	8	483
538	4	1	4	484
539	1	0	14	423
540	1	1	5	485
541	1	0	5	486
542	2	0	8	487
543	3	1	1	488
544	1	0	0	489
545	2	0	3	490
546	3	0	7	491
547	4	0	2	492
548	3	0	8	493
549	0	1	5	494
550	1	0	10	50
551	3	0	1	495
552	4	0	7	496
553	2	0	8	496
554	1	1	7	497
555	2	1	7	498
556	1	1	2	146
557	4	1	2	499
558	4	0	3	328
559	2	0	5	29
560	1	0	14	500
561	4	1	4	501
562	2	1	11	502
563	4	0	18	503
564	2	0	5	385
565	1	0	5	504
566	1	0	9	29
567	2	0	7	505
568	2	0	7	506
569	1	0	7	504
570	2	0	13	507
571	4	0	7	80
572	4	0	18	508
573	4	0	7	509
574	2	0	15	510
575	3	0	3	511
576	2	1	5	512
577	2	0	4	513
578	2	0	7	142
579	0	0	5	514
580	2	0	1	515
581	0	0	5	516
582	3	0	14	517
583	1	0	5	518
584	4	0	11	519
585	1	0	5	520
586	1	0	1	521
587	0	1	5	522
588	1	0	6	523
589	3	0	7	524
590	4	1	11	525
591	0	0	5	526
592	2	1	7	143
593	3	0	7	527
594	1	0	10	528
595	1	0	13	529
596	1	0	1	530
597	2	1	15	531
598	1	1	5	532
599	2	0	10	533
600	1	1	13	534
601	3	1	1	535
602	1	0	10	536
603	2	0	7	537
604	2	0	14	538
605	1	0	10	539
606	3	1	17	184
607	1	0	1	29
608	0	1	5	13
609	1	0	5	540
610	3	0	11	541
611	2	0	7	542
612	2	1	15	543
613	4	0	7	544
614	2	0	7	545
615	4	0	8	302
616	1	1	2	546
617	0	1	5	547
618	0	0	5	548
619	0	1	2	549
620	0	0	5	63
621	1	0	10	550
622	3	1	7	551
623	1	0	5	161
624	1	0	10	552
625	1	0	8	553
626	1	0	14	554
627	0	0	16	555
628	3	1	1	475
629	1	1	17	449
630	0	1	5	556
631	0	0	5	287
632	2	0	10	50
633	2	0	14	70
634	1	0	1	557
635	3	0	7	558
636	1	0	1	559
637	3	0	14	560
638	3	1	11	561
639	1	0	5	74
640	1	0	5	562
641	0	1	5	563
642	2	0	8	564
643	4	0	18	565
644	1	0	10	130
645	0	1	5	566
646	2	0	7	567
647	3	0	14	568
648	1	0	5	569
649	3	0	14	137
650	4	0	18	570
651	2	0	1	490
652	2	0	3	35
653	1	1	5	571
654	3	1	17	572
655	3	0	7	573
656	1	1	16	574
657	2	0	10	380
658	2	0	7	575
659	1	0	5	576
660	1	0	10	577
661	4	0	11	578
662	1	0	1	579
663	1	0	14	580
664	1	0	4	581
665	3	0	4	582
666	2	0	11	583
667	1	1	2	256
668	2	0	1	120
669	1	0	0	584
670	1	0	10	585
671	4	1	4	586
672	4	0	7	587
673	0	1	5	65
674	2	0	1	588
675	1	0	10	589
676	1	0	1	590
677	3	0	7	591
678	1	1	5	592
679	2	0	6	593
680	3	1	15	594
681	1	0	10	595
682	3	0	11	596
683	1	0	5	50
684	2	1	11	433
685	2	0	7	597
686	2	1	17	598
687	2	1	4	599
688	1	0	1	600
689	2	0	19	601
690	2	0	7	602
691	2	0	14	603
692	3	1	17	604
693	4	0	10	605
694	1	0	2	379
695	4	0	1	606
696	1	0	1	607
697	1	1	10	608
698	3	0	1	609
699	0	0	5	610
700	4	1	11	611
701	2	0	1	612
702	1	0	7	169
703	4	1	11	613
704	1	1	5	614
705	1	0	5	287
706	4	1	11	615
707	1	1	12	616
708	1	0	1	617
709	1	0	5	618
710	1	1	5	619
711	1	1	5	620
712	3	1	1	621
713	1	0	14	622
714	1	0	0	623
715	2	1	4	624
716	1	0	0	625
717	3	0	0	626
718	2	1	1	627
719	3	1	4	628
720	1	1	9	629
721	3	1	12	630
722	1	0	3	631
723	2	0	3	632
724	1	0	5	290
725	1	1	4	633
726	1	0	5	30
727	4	0	3	555
728	1	0	5	634
729	2	1	8	635
730	3	1	7	636
731	1	1	1	637
732	3	1	1	416
733	1	1	1	280
734	1	1	17	638
735	3	1	2	444
736	1	0	10	639
737	2	0	0	640
738	2	0	0	641
739	1	1	7	114
740	1	0	2	280
741	2	0	5	642
742	2	0	10	643
743	2	0	15	644
744	3	0	2	157
745	1	0	14	645
746	1	0	1	646
747	1	0	4	647
748	2	0	1	648
749	1	0	4	649
750	1	1	1	523
751	4	0	18	650
752	4	0	19	623
753	4	1	11	496
754	3	1	7	651
755	1	1	16	652
756	1	0	5	152
757	1	0	5	255
758	1	1	5	653
759	2	1	1	654
760	0	0	5	655
761	2	0	4	656
762	1	0	8	657
763	1	1	7	658
764	2	0	5	659
765	3	0	1	192
766	4	0	14	176
767	1	0	4	660
768	2	0	3	661
769	1	0	5	521
770	1	0	5	662
771	3	0	2	663
772	1	0	5	50
773	1	0	5	664
774	3	0	3	665
775	1	0	11	666
776	4	0	10	333
777	2	0	5	667
778	2	0	5	668
779	3	0	10	669
780	1	0	5	670
781	1	1	13	671
782	1	0	15	672
783	3	0	4	673
784	2	0	14	674
785	2	1	14	675
786	0	1	5	676
787	4	0	4	677
788	1	0	1	678
789	1	0	0	679
790	2	0	7	680
791	2	0	10	681
792	1	0	5	682
793	2	0	7	683
794	1	0	10	684
795	2	1	2	685
796	3	1	1	686
797	2	1	2	687
798	3	1	4	688
799	1	0	10	65
800	1	0	2	689
801	2	0	4	690
802	4	0	4	378
803	2	0	7	582
804	1	1	1	120
805	1	0	15	146
806	3	1	17	185
807	3	0	19	691
808	3	1	15	692
809	4	1	1	693
810	2	1	7	694
811	1	0	0	695
812	0	1	5	696
813	1	0	1	697
814	2	0	1	698
815	2	0	1	170
816	1	0	5	699
817	1	0	11	38
818	4	0	4	700
819	1	0	5	701
820	2	0	14	512
821	1	1	11	702
822	1	0	13	703
823	2	0	1	704
824	3	0	14	705
825	1	0	13	706
826	1	1	14	707
827	1	0	11	400
828	3	0	2	708
829	3	0	10	709
830	1	0	1	710
831	1	0	0	607
832	2	0	2	711
833	1	0	1	712
834	3	1	3	713
835	3	0	13	714
836	2	1	13	433
837	1	0	5	715
838	2	1	9	716
839	2	0	13	259
840	3	0	20	717
841	2	0	2	718
842	2	0	11	547
843	1	0	14	719
844	4	0	20	720
845	1	0	6	721
846	1	0	5	722
847	3	0	14	468
848	0	1	5	723
849	2	0	0	724
850	0	0	1	725
851	3	0	4	285
852	3	0	2	726
853	1	1	5	449
854	4	0	11	727
855	3	1	15	728
856	2	1	4	729
857	4	0	7	730
858	0	1	1	731
859	4	1	18	732
860	2	1	5	733
861	1	0	3	734
862	0	0	5	602
863	1	0	10	735
864	1	0	13	202
865	3	0	1	736
866	1	0	8	737
867	1	0	10	738
868	1	0	5	452
869	1	0	5	739
870	2	0	3	740
871	1	1	5	741
872	3	1	4	742
873	2	0	8	743
874	1	1	5	744
875	3	0	1	745
876	1	0	1	746
877	3	1	7	329
878	2	1	4	65
879	0	0	5	356
880	2	0	15	747
881	2	0	14	748
882	3	0	11	749
883	3	0	14	65
884	1	1	1	750
885	1	0	5	582
886	0	1	5	751
887	3	0	8	752
888	1	0	0	574
889	2	0	5	14
890	4	1	4	753
891	2	0	1	754
892	1	0	5	755
893	3	0	7	756
894	2	1	11	191
895	1	0	2	757
896	1	0	1	758
897	1	0	12	373
898	2	0	1	341
899	4	0	18	759
